object_id;federal_state;district;lor_2021;year_accident;month_accident;hour_accident;weekday;accident_category;accident_type;accident_subtype;light_conditions;accident_involving_bicycle;accident_involving_passenger_car;accident_involving_pedestrian;accident_involving_motorcycle;accident_involving_truck;accident_involving_other;road_condition;coordinates_1a;coordinates_2a;coordinates_1b;coordinates_2b
219221;11;Charlottenburg-Wilmersdorf;4500939.0;2021;12;18;4;3;5;2;1;1;1;0;0;0;0;0;792439,7595;5824095,448;13,30791309;52,48845278
219214;11;Mitte;1100102.0;2021;12;9;2;3;0;5;0;1;1;0;0;0;0;1;796973,1702;5826579,744;13,37669957;52,50827479
219193;11;Spandau;5100209.0;2021;12;18;4;3;5;2;2;1;1;0;0;0;0;0;783320,2118;5830271,905;13,17922829;52,54864203
219190;11;Mitte;1100310.0;2021;12;12;6;3;1;5;0;1;1;0;0;0;0;0;799021,6282;5828725,878;13,40872126;52,52639286
219189;11;Pankow;3601451.0;2021;12;17;5;2;5;3;2;1;1;0;0;0;0;0;801364,4615;5829700,555;13,44403463;52,53383903
219188;11;Tempelhof-Schoeneberg;7300516.0;2021;12;18;3;3;5;2;2;1;1;0;0;0;0;0;793996,52;5821562,277;13,32854151;52,46490792
219180;11;Spandau;5100316.0;2021;12;16;3;3;0;1;2;1;0;0;0;0;0;0;784841,5142;5829023,437;13,20053294;52,53665496
219175;11;Pankow;3501038.0;2021;12;14;5;2;6;4;0;1;0;1;0;0;0;0;803615,0186;5832300,029;13,47948842;52,55588825
219169;11;Lichtenberg;11200512.0;2021;12;16;2;3;5;3;1;1;1;0;0;0;0;1;804119,9972;5831901,379;13,4865488;52,5520336
219167;11;Lichtenberg;11501340.0;2021;12;12;5;3;1;5;0;1;1;0;0;0;0;0;807478,4507;5825672,24;13,5301684;52,49432263
219163;11;Steglitz-Zehlendorf;6200422.0;2021;11;15;3;3;5;3;0;1;1;0;0;0;0;1;794732,0667;5816291,921;13,33468927;52,41726546
219151;11;Treptow-Koepenick;9200716.0;2021;12;18;2;3;2;6;2;1;1;0;0;0;0;0;808926,2858;5819367,187;13,54559048;52,43699986
219148;11;Mitte;1300835.0;2021;12;15;5;3;0;2;0;1;0;0;0;0;1;0;797543,7486;5829414,747;13,3876178;52,53337631
219130;11;Lichtenberg;11400929.0;2021;12;8;6;2;2;2;1;1;0;0;0;0;1;1;805129,6881;5826182,817;13,4961473;52,50021673
219128;11;Mitte;1100308.0;2021;12;14;6;3;2;6;0;1;1;0;0;0;0;0;797562,0466;5828652,282;13,38720431;52,52653176
219121;11;Lichtenberg;11400928.0;2021;12;16;2;3;6;7;2;1;0;1;0;0;0;0;804255,7715;5826157,396;13,48328963;52,50047683
219110;11;Pankow;3601245.0;2021;12;16;6;3;5;2;1;1;1;0;0;0;0;0;800753,0166;5831294,661;13,43649048;52,54846501
219105;11;Mitte;1100101.0;2021;12;12;4;3;5;2;0;1;1;0;0;0;0;1;794595,0818;5826092,144;13,3413303;52,50519316
219097;11;Friedrichshain-Kreuzberg;2500831.0;2021;12;19;4;3;5;3;2;1;1;0;0;0;0;1;802909,8266;5827126,95;13,46440441;52,50991559
219094;11;Friedrichshain-Kreuzberg;2200208.0;2021;12;14;5;3;1;5;0;1;1;0;0;0;0;0;797571,506;5825226,525;13,38428038;52,4958187
219093;11;Friedrichshain-Kreuzberg;2200212.0;2021;12;7;5;3;5;2;1;1;1;0;0;0;0;1;799211,9186;5824554,308;13,4077683;52,48889641
219088;11;Tempelhof-Schoeneberg;7200413.0;2021;12;13;3;3;2;6;0;1;1;0;0;0;0;2;796279,654;5823192,468;13,36349874;52,47828799
219086;11;Mitte;1100103.0;2021;12;14;7;3;2;6;0;1;1;0;0;0;0;1;795733,0818;5825710,36;13,35770887;52,50115514
219078;11;Mitte;1100103.0;2021;12;17;3;3;1;5;2;1;1;0;0;0;0;0;795990,139;5825611,208;13,36139663;52,50012696
219068;11;Treptow-Koepenick;9100304.0;2021;12;21;1;3;5;2;2;1;1;0;0;0;0;0;804400,9701;5821740,454;13,48138962;52,46080819
219066;11;Friedrichshain-Kreuzberg;2400521.0;2021;12;17;2;3;0;2;2;1;0;0;0;0;1;0;800720,6002;5827900,912;13,43294346;52,51806404
219064;11;Lichtenberg;11400927.0;2021;12;16;5;3;5;3;1;1;1;0;0;0;0;0;803625,753;5826564,89;13,47440847;52,50448
219052;11;Friedrichshain-Kreuzberg;2500727.0;2021;12;13;5;3;5;3;0;1;1;0;0;0;0;0;802452,6841;5828277,343;13,4587347;52,52048014
219047;11;Mitte;1100206.0;2021;12;14;1;3;2;7;0;1;1;0;0;0;0;0;798086,7468;5827100,627;13,3935253;52,51233654
219041;11;Pankow;3601348.0;2021;12;19;5;3;1;5;2;1;1;0;0;0;0;1;799908,7064;5830651,021;13,42349506;52,54316133
219033;11;Marzahn-Hellersdorf;10100208.0;2021;12;13;6;3;5;3;0;1;1;0;0;0;0;0;808965,763;5832424,12;13,55827873;52,55399136
219029;11;Charlottenburg-Wilmersdorf;4501149.0;2021;12;16;2;3;5;2;2;1;1;0;0;0;0;1;793455,4501;5824450,774;13,32314189;52,49109312
219026;11;Friedrichshain-Kreuzberg;2300314.0;2021;12;21;5;3;5;3;2;1;1;0;0;0;0;1;800282,0765;5826084,578;13,42486148;52,50202525
219023;11;Charlottenburg-Wilmersdorf;4501041.0;2021;12;14;2;3;0;7;0;1;1;0;0;0;0;0;793216,2401;5825638,958;13,3206747;52,5018733
219021;11;Tempelhof-Schoeneberg;7400823.0;2021;12;18;4;3;1;5;2;1;1;0;0;0;0;1;797113,0302;5820703,762;13,37351766;52,45552642
219020;11;Pankow;3601243.0;2021;12;19;2;3;0;1;2;1;0;0;0;0;0;0;799655,2006;5831221,998;13,42028321;52,54841869
219016;11;Steglitz-Zehlendorf;6300526.0;2021;12;15;6;3;5;2;1;1;1;0;0;0;0;1;789392,593;5817909,279;13,25779733;52,43461527
219011;11;Mitte;1100102.0;2021;12;12;7;3;6;6;0;1;0;1;0;0;0;1;795644,5559;5827469,099;13,35797064;52,51696876
218997;11;Treptow-Koepenick;9501737.0;2021;12;15;2;3;5;3;0;1;1;0;0;0;0;0;814187,4122;5821209,314;13,6244641;52,45051063
218991;11;Charlottenburg-Wilmersdorf;4400835.0;2021;12;11;3;3;5;2;0;1;1;0;0;0;0;0;793378,1772;5822277,386;13,32009451;52,47165101
218990;11;Charlottenburg-Wilmersdorf;4501045.0;2021;12;20;5;3;2;6;2;1;1;0;0;0;0;1;794190,3267;5825422,896;13,33479288;52,49941212
218986;11;Friedrichshain-Kreuzberg;2400521.0;2021;12;8;2;3;0;1;0;1;0;0;0;0;0;2;801277,4045;5827949,287;13,44116839;52,51819032
218976;11;Mitte;1100207.0;2021;12;15;3;3;5;2;0;1;1;0;0;0;0;0;798894,4334;5827353,316;13,40561863;52,51415956
218967;11;Lichtenberg;11200411.0;2021;12;12;4;3;5;2;0;1;1;0;0;0;0;1;805160,1561;5831623,82;13,50158734;52,54896429
218952;11;Treptow-Koepenick;9401432.0;2021;12;9;6;3;3;6;0;1;1;0;0;0;0;1;812305,4813;5820336,484;13,59604549;52,44376719
218950;11;Neukoelln;8200726.0;2021;12;17;7;3;6;4;1;1;0;1;0;0;0;1;801534,5944;5820175,914;13,43791625;52,44837392
218946;11;Pankow;3601141.0;2021;12;12;5;3;3;6;0;1;0;0;0;0;0;1;798693,5279;5831792,724;13,40665644;52,55406253
218940;11;Steglitz-Zehlendorf;6400735.0;2021;12;14;2;3;5;3;0;1;1;0;0;0;0;0;781877,3502;5813340,001;13,14369614;52,39756849
218938;11;Mitte;1100309.0;2021;12;19;4;3;5;7;2;1;1;0;0;0;0;1;798626,0544;5828992,229;13,40314693;52,52899714
218930;11;Charlottenburg-Wilmersdorf;4200308.0;2021;12;14;4;3;1;5;0;1;1;0;0;0;0;0;790118,7466;5826875,342;13,27624817;52,51461338
218927;11;Marzahn-Hellersdorf;10200627.0;2021;12;7;4;3;5;7;0;1;0;0;0;0;1;0;810998,5809;5829777,908;13,58568851;52,52912098
218921;11;Charlottenburg-Wilmersdorf;4501043.0;2021;12;9;3;3;1;5;0;1;1;0;0;0;0;0;792415,0285;5824976,608;13,30832325;52,49636544
218920;11;Mitte;1200623.0;2021;12;13;2;3;5;3;0;1;0;0;0;0;1;1;795428,7637;5829541,795;13,35664123;52,53566567
218916;11;Spandau;5100316.0;2021;12;22;6;3;5;3;2;1;1;0;0;0;0;1;785156,2051;5829360,15;13,20544905;52,53950932
218913;11;Treptow-Koepenick;9200819.0;2021;12;20;2;3;0;1;2;1;0;0;0;0;0;1;810694,5389;5819568,485;13,57170627;52,4378023
218907;11;Neukoelln;8100314.0;2021;12;14;5;3;5;3;0;1;1;0;0;0;0;0;800827,7813;5824174,12;13,43115172;52,48460068
218905;11;Charlottenburg-Wilmersdorf;4400835.0;2021;11;14;2;3;1;5;0;1;1;0;0;0;0;1;793209,5332;5822517,693;13,31783007;52,47389584
218902;11;Pankow;3501038.0;2021;12;15;1;3;1;5;1;1;1;0;0;0;0;0;803428,7461;5831533,259;13,47604856;52,54911976
218899;11;Tempelhof-Schoeneberg;7200411.0;2021;12;13;3;3;5;2;0;1;0;0;0;0;1;1;795825,6195;5824101,365;13,35763943;52,48668166
218892;11;Treptow-Koepenick;9200510.0;2021;12;10;2;3;5;2;0;1;1;0;0;0;0;0;805783,5816;5822862,953;13,50270483;52,47009671
218882;11;Mitte;1100308.0;2021;12;8;5;3;1;5;0;1;1;0;0;0;0;0;797078,2545;5829288,032;13,38066213;52,53249437
218881;11;Mitte;1200625.0;2021;12;6;4;3;5;3;2;1;0;0;0;0;1;2;795144,3639;5828560,19;13,35158885;52,52702046
218873;11;Mitte;1100205.0;2021;12;11;2;3;5;2;0;1;1;0;0;0;0;0;797252,6154;5827357,366;13,38149942;52,51509311
218864;11;Pankow;3400830.0;2021;12;8;4;3;0;5;0;1;1;0;0;0;0;0;799405,7692;5833481,155;13,4186537;52,56880549
218861;11;Mitte;1400937.0;2021;12;15;2;3;5;3;0;1;1;0;0;0;0;1;793758,6863;5831848,529;13,33412993;52,55724691
218859;11;Mitte;1100309.0;2021;12;15;7;3;0;1;1;1;0;0;0;0;0;1;798584,0733;5828392,607;13,4019915;52,52364536
218853;11;Friedrichshain-Kreuzberg;2200208.0;2021;12;16;4;3;5;2;2;1;1;0;0;0;0;0;797562,2385;5825159,031;13,38408398;52,49521875
218841;11;Steglitz-Zehlendorf;6300633.0;2021;12;13;4;3;5;7;0;1;0;0;0;0;1;0;793260,4721;5819108,47;13,31558307;52,44330574
218839;11;Mitte;1100207.0;2021;12;12;4;3;5;3;0;1;1;0;0;0;0;0;798805,4796;5826687,477;13,4037139;52,50823998
218835;11;Mitte;1300834.0;2021;12;23;4;3;1;5;2;1;1;0;0;0;0;1;798372,3069;5830324,192;13,40061328;52,54107529
218831;11;Friedrichshain-Kreuzberg;2500832.0;2021;12;14;5;3;3;6;0;1;1;0;0;0;0;1;803452,7417;5826976,938;13,47224289;52,50826935
218826;11;Treptow-Koepenick;9200613.0;2021;12;13;3;2;6;7;0;1;0;1;0;0;0;0;808074,6386;5821036,351;13,53464084;52,45243946
218817;11;Steglitz-Zehlendorf;6200421.0;2021;12;16;3;3;1;5;1;1;1;0;0;0;0;1;793746,7459;5818041,05;13,32177882;52,43347564
218813;11;Spandau;5400943.0;2021;12;10;5;3;5;3;0;1;1;0;0;0;0;1;780281,7896;5819499,105;13,12546826;52,45361618
218802;11;Pankow;3701660.0;2021;12;10;3;1;3;6;0;1;0;0;0;1;0;1;800118,4462;5828988,95;13,42507767;52,5281482
218784;11;Friedrichshain-Kreuzberg;2400520.0;2021;12;20;3;3;4;6;2;1;1;0;0;0;0;0;800657,6787;5828539,033;13,43259573;52,52381837
218782;11;Friedrichshain-Kreuzberg;2200213.0;2021;12;13;6;2;0;1;0;1;1;0;0;0;0;0;800099,7547;5825076,069;13,42127491;52,49308586
218780;11;Neukoelln;8100312.0;2021;12;21;5;3;3;6;2;1;0;0;0;0;1;0;801189,8408;5824069,041;13,43637251;52,48345923
218760;11;Friedrichshain-Kreuzberg;2500833.0;2021;12;20;4;3;5;7;2;1;1;0;0;0;0;1;802644,2344;5826996,831;13,4603846;52,50889675
218752;11;Treptow-Koepenick;9501939.0;2021;12;17;2;3;1;5;2;1;1;0;0;0;0;0;810976,7158;5821706,364;13,57783394;52,45680071
218751;11;Pankow;3601245.0;2021;12;17;3;3;5;3;2;1;1;0;0;0;0;1;801154,8668;5831132,988;13,44225232;52,54679393
218721;11;Pankow;3200205.0;2021;12;8;7;2;5;3;0;1;0;0;0;0;0;0;797581,4484;5835916,811;13,3940032;52,59163818
218715;11;Neukoelln;8100206.0;2021;12;17;6;3;2;4;2;1;1;1;0;0;0;0;800744,4117;5823806,537;13,42959607;52,48135183
218705;11;Charlottenburg-Wilmersdorf;4100101.0;2021;12;11;5;3;5;3;0;1;0;0;0;0;1;0;791660,2977;5830679,175;13,30223816;52,54789185
218704;11;Mitte;1300834.0;2021;12;19;5;3;5;2;2;1;1;0;0;0;0;0;798277,8651;5830096,019;13,39902001;52,53908174
218703;11;Charlottenburg-Wilmersdorf;4500936.0;2021;12;19;6;2;5;3;2;1;1;0;0;0;0;0;791843,4196;5825699,945;13,30056107;52,50315602
218697;11;Mitte;1100309.0;2021;12;20;5;3;5;7;2;1;1;0;0;0;0;1;798106,3551;5828954,007;13,39547438;52,52893898
218696;11;Charlottenburg-Wilmersdorf;4400835.0;2021;12;7;4;3;1;5;0;1;0;0;0;0;1;0;792917,8461;5822782,422;13,31378039;52,47642556
218694;11;Mitte;1100206.0;2021;12;18;5;3;3;2;2;1;1;0;0;0;0;0;796922,1478;5827634,813;13,37689139;52,51776014
218682;11;Pankow;3701554.0;2021;12;16;6;3;1;5;1;1;1;0;0;0;0;1;798980,1543;5829698,067;13,40898608;52,53512985
218680;11;Charlottenburg-Wilmersdorf;4300416.0;2021;12;9;2;3;0;3;0;1;0;0;0;0;1;2;791578,0161;5826514,519;13,29737556;52,51060047
218670;11;Neukoelln;8100417.0;2021;12;8;1;3;5;3;0;1;0;0;0;0;1;1;802133,9287;5823086,119;13,44934237;52,47412765
